CustomerId	CustomerHomeAddress	CustomerCity	CustomerState	CustomerCountry	CustomerZipCode
GP-14740	8064 Brewerton Rd	Seattle	Washington	United States	30324
MW-18220	5033 Transit Road	Delhi	Delhi	India	30326
PO-18850	3949 Route 31	Geraldton	Western Australia	Australia	30328
CS-12460	139 Merchant Place	Tallahassee	Florida	United States	30330
KD-16495	85 Crooked Hill Road	Dhaka	Dhaka	Bangladesh	30332
MS-17980	872 Route 13	New York City	New York	United States	30334
KC-16675	279 Troy Road	Munster	Lower Saxony	Germany	30336
DB-13405	2465 Hempstead Turnpike	Celle	Lower Saxony	Germany	30338
JD-15895	6438 Basile Rowe	Wuxi	Jiangsu	China	30340
DK-13090	25737 US Rt 11	Richmond	Virginia	United States	30342
CS-11845	901 Route 110	Seville	Andalusía	Spain	30344
EM-14200	2400 Route 9	Raipur	Uttarakhand	India	30346
DW-3480	10401 Bennett Road	Gómez Palacio	Durango	Mexico	30348
AS-10225	1818 State Route 3	Kharkiv	Kharkiv	Ukraine	30350
ST-20530	4300 Lakeville Road	Jinan	Shandong	China	30352
BW-1065	990 Route 5 20	Chinandega	Chinandega	Nicaragua	30354
LA-16780	311 RT 9W	Kananga	Kasai-Occidental	Democratic Republic of the Congo	30356
AB-10150	200 Dutch Meadows Ln	Palembang	Sumatera Selatan	Indonesia	30358
CM-12385	100 Elm Ridge Center Dr	London	England	United Kingdom	30360
BE-11410	1549 Rt 9	Melbourne	Victoria	Australia	30362
SZ-20035	5360 Southwestern Blvd	Atlanta	Georgia	United States	30364
RM-19375	103 North Caroline St	Duisburg	North Rhine-Westphalia	Germany	30366
HG-14845	1000 State Route 36	Nanchong	Sichuan	China	30368
DP-3105	1400 County Rd 64	Naihati	West Bengal	India	30370
AR-10540	135 Fairgrounds Memorial Pkwy	Lille	Nord-Pas-de-Calais	France	30372
TP-21415	2 Gannett Dr	Meknes	Meknès-Tafilalet	Morocco	30374
AM-10705	233 5th Ave Ext	Jackson	Michigan	United States	30376
AB-255	601 Frank Stottile Blvd	Philadelphia	Pennsylvania	United States	30378
RP-19270	350 E Fairmount Ave	Krefeld	North Rhine-Westphalia	Germany	30380
BK-11260	4975 Transit Rd	Bandung	Jawa Barat	Indonesia	30382
JM-15250	579 Troy-Schenectady Road	Casablanca	Grand Casablanca	Morocco	30384
LW-16990	5783 So Transit Road	Sydney	New South Wales	Australia	30386
NZ-18565	7155 State Rt 12 S	Tongi	Dhaka	Bangladesh	30388
SV-10815	425 Route 31	Suzhou	Anhui	China	30390
SC-20695	3222 State Rt 11	Delhi	Delhi	India	30392
NC-18625	200 Sunrise Mall	Henderson	Nevada	United States	30394
NF-18385	43 Stephenville St	Paris	Ile-de-France	France	30396
PM-18940	750 Middle Country Road	Montréal	Quebec	Canada	30398
MZ-17335	470 Route 211 East	Manila	National Capital	Philippines	30400
HM-4980	3133 E Main St	Newcastle	New South Wales	Australia	30402
RW-19540	288 Larkin	Graz	Styria	Austria	30404
LH-17155	41 Anawana Lake Road	Nowra	New South Wales	Australia	30406
KM-16660	4765 Commercial Drive	Boulogne-Billancourt	Ile-de-France	France	30408
AB-10060	1201 Rt 300	Malakoff	Ile-de-France	France	30410
DB-13060	255 W Main St	Kinshasa	Kinshasa	Democratic Republic of the Congo	30412
VM-21685	120 Commercial Parkway	Perth	Western Australia	Australia	30414
DM-13525	1400 Farmington Ave	Le Bouscat	Aquitaine	France	30416
NM-18520	161 Berlin Road	Puebla	Puebla	Mexico	30418
RO-19780	67 Newton Rd	Augsburg	Bavaria	Germany	30420
SB-20185	656 New Haven Ave	Nice	Provence-Alpes-Côte d'Azur	France	30422
EM-14065	69 Prospect Hill Road	Seattle	Washington	United States	30424
RS-19765	150 Gold Star Hwy	Medellín	Antioquia	Colombia	30426
ON-18715	900 Boston Post Road	Gold Coast	Queensland	Australia	30428
VS-21820	2300 Dixwell Ave	Bergen op Zoom	North Brabant	Netherlands	30430
CM-12115	495 Flatbush Ave	Lakewood	New Jersey	United States	30432
TB-21400	180 River Rd	Hanover	Lower Saxony	Germany	30434
AB-10105	420 Buckland Hills Dr	Vigo	Galicia	Spain	30436
DW-13540	1365 Boston Post Road	Sydney	New South Wales	Australia	30438
PS-19045	1100 New Haven Road	Gaoyou	Jiangsu	China	30440
CC-12370	315 Foxon Blvd	Los Angeles	California	United States	30442
TC-21295	164 Danbury Rd	Bremen	Bremen	Germany	30444
GM-14440	3164 Berlin Turnpike	Los Angeles	California	United States	30446
SV-20815	474 Boston Post Road	Muret	Midi-Pyrénées	France	30448
MM-17920	650 Main Ave	Zigong	Sichuan	China	30450
JK-16120	680 Connecticut Avenue	Adelaide	South Australia	Australia	30452
DJ-13510	220 Salem Turnpike	New York City	New York	United States	30454
AT-10435	655 Boston Post Rd	Detroit	Michigan	United States	30456
AB-10015	625 School Street	Adelaide	South Australia	Australia	30458
RP-19390	80 Town Line Rd	Chelles	Ile-de-France	France	30460
MJ-17740	465 Bridgeport Avenue	Kuantan	Pahang	Malaysia	30462
PV-18985	235 Queen St	Harrisonburg	Virginia	United States	30464
SB-20290	150 Barnum Avenue Cutoff	Philadelphia	Pennsylvania	United States	30466
SM-10005	970 Torringford Street	Everett	Massachusetts	United States	30468
KH-16330	844 No Colony Road	Quito	Pichincha	Ecuador	30470
MP-18175	910 Wolcott St	Vadodara	Gujarat	India	30472
LH-17020	155 Waterford Parkway No	Sanya	Hainan	China	30474
ND-18370	515 Sawmill Road	Palembang	Sumatera Selatan	Indonesia	30476
CR-12625	2473 Hackworth Road	Bangkok	Bangkok	Thailand	30478
GM-14680	630 Coonial Promenade Pkwy	San Diego	California	United States	30480
RA-19945	2643 Hwy 280 West	Tasikmalaya	Jawa Barat	Indonesia	30482
BW-11110	540 West Bypass	Guaymas	Sonora	Mexico	30484
RF-19735	5560 Mcclellan Blvd	Wuhan	Hubei	China	30486
AG-10675	1450 No Brindlee Mtn Pkwy	Madison	Wisconsin	United States	30488
DM-12955	1011 US Hwy 72 East	San Diego	California	United States	30490
KD-16270	973 Gilbert Ferry Road Se	Salto	São Paulo	Brazil	30492
BE-11335	1717 South College Street	Treviso	Veneto	Italy	30494
SO-20335	701 Mcmeans Ave	Hargeysa	Woqooyi Galbeed	Somalia	30496
DK-12835	750 Academy Drive	Long Beach	California	United States	30498
LC-7050	312 Palisades Blvd	Yogyakarta	Yogyakarta	Indonesia	30500
CG-12520	1600 Montclair Rd	Perth	Western Australia	Australia	30502
TB-21280	5919 Trussville Crossings Pkwy	Anshan	Liaoning	China	30504
HG-15025	9248 Parkway East	New York City	New York	United States	30506
AD-10180	1972 Hwy 431	Brisbane	Queensland	Australia	30508
BP-11155	10675 Hwy 5	Dhaka	Dhaka	Bangladesh	30510
AA-10480	2041 Douglas Avenue	Amsterdam	North Holland	Netherlands	30512
RL-19615	5100 Hwy 31	Le Petit-Quevilly	Upper Normandy	France	30514
CS-12505	1916 Center Point Rd	Bochum	North Rhine-Westphalia	Germany	30516
SW-20245	1950 W Main St	Detroit	Michigan	United States	30518
TA-21385	16077 Highway 280	Perth	Western Australia	Australia	30520
YC-21895	1415 7Th Street South	Hamburg	Hamburg	Germany	30522
JM-15580	626 Olive Street Sw	Houston	Texas	United States	30524
MZ-7335	27520 Hwy 98	Mixco	Guatemala	Guatemala	30526
JF-15295	2800 Spring Avn SW	Yonkers	New York	United States	30528
JL-15835	969 Us Hwy 80 West	Morelia	Michoacán	Mexico	30530
DJ-3510	3300 South Oates Street	Changchun	Jilin	China	30532
MF-18250	4310 Montgomery Hwy	Madrid	Madrid	Spain	30534
JE-15610	600 Boll Weevil Circle	Jeddah	Makkah	Saudi Arabia	30536
CP-12340	3176 South Eufaula Avenue	Taipei	Taipei City	Taiwan	30538
EH-14125	7100 Aaron Aronov Drive	Adelaide	South Australia	Australia	30540
NC-18340	10040 County Road 48	Norman	Oklahoma	United States	30542
JS-16030	3186 Hwy 171 North	Medan	Sumatera Utara	Indonesia	30544
AM-10360	3100 Hough Rd	Jakarta	Jakarta	Indonesia	30546
JF-15190	2200 South Mckenzie St	London	England	United Kingdom	30548
JG-15160	2001 Glenn Bldv Sw	Bangkok	Bangkok	Thailand	30550
DP-13390	340 East Meighan Blvd	Newcastle	New South Wales	Australia	30552
AG-10330	890 Odum Road	Lancaster	Ohio	United States	30554
GK-14620	1608 W Magnolia Ave	Surakarta	Jawa Tengah	Indonesia	30556
NF-18475	501 Willow Lane	New York City	New York	United States	30558
DR-12940	170 Fort Morgan Road	Beijing	Beijing	China	30560
NB-18655	11697 US Hwy 431	London	England	United Kingdom	30562
NM-18445	42417 Hwy 195	Tulancingo	Hidalgo	Mexico	30564
NP-18670	1706 Military Street South	Brest	Brest	Belarus	30566
SC-20380	1201 Hwy 31 NW	Valencia	Valenciana	Spain	30568
PA-9060	209 Lakeshore Parkway	Charlotte	North Carolina	United States	30570
RB-19570	2780 John Hawkins Pkwy	Zhytomyr	Zhytomyr	Ukraine	30572
SR-20740	5335 Hwy 280 South	Argenteuil	Ile-de-France	France	30574
RH-19510	1007 Red Farmer Drive	Talence	Aquitaine	France	30576
LH-16750	2900 S Mem PkwyDrake Ave	Atlanta	Georgia	United States	30578
KB-16585	11610 Memorial Pkwy South	Aurangabad	Bihar	India	30580
EM-13810	2200 Sparkman Drive	Plaisir	Ile-de-France	France	30582
MZ-7515	330 Sutton Rd	Melbourne	Victoria	Australia	30584
DM-13345	6140A Univ Drive	Gorakhpur	Haryana	India	30586
CA-11965	4206 N College Ave	Medan	Sumatera Utara	Indonesia	30588
SC-20305	1625 Pelham South	Harrogate	England	United Kingdom	30590
MH-18115	1801 Hwy 78 East	Phnom Penh	Phnom Penh	Cambodia	30592
KS-16300	8551 Whitfield Ave	Mackay	Queensland	Australia	30594
BG-11740	8650 Madison Blvd	Stockton-on-Tees	England	United Kingdom	30596
CR-2625	145 Kelley Blvd	North Las Vegas	Nevada	United States	30598
CB-12415	1970 S University Blvd	Jambi	Jambi	Indonesia	30600
AP-10720	6350 Cottage Hill Road	Los Angeles	California	United States	30602
CR-12820	101 South Beltline Highway	Moers	North Rhine-Westphalia	Germany	30604
BF-11080	2500 Dawes Road	Newark	Delaware	United States	30606
JM-15265	5245 Rangeline Service Rd	Townsville	Queensland	Australia	30608
TW-21025	685 Schillinger Rd	Hamburg	Hamburg	Germany	30610
RB-19330	3371 S Alabama Ave	Shenzhen	Guangdong	China	30612
JA-15970	10710 Chantilly Pkwy	Launceston	Tasmania	Australia	30614
AB-60	3801 Eastern Blvd	Lakewood	New Jersey	United States	30616
JR-5670	6495 Atlanta Hwy	Marikina	National Capital	Philippines	30618
MD-17350	851 Ann St	Johannesburg	Gauteng	South Africa	30620
PK-19075	15445 Highway 24	Barakaldo	Basque Country	Spain	30622
TP-21130	517 West Avalon Ave	New York City	New York	United States	30624
JK-15640	5710 Mcfarland Blvd	Providence	Rhode Island	United States	30626
CD-11920	2453 2Nd Avenue East	Santo Domingo	Santo Domingo	Dominican Republic	30628
JL-5835	2900 Pepperrell Pkwy	Long Beach	New York	United States	30630
EP-13915	92 Plaza Lane	Qingdao	Shandong	China	30632
MS-17770	1537 Hwy 231 South	Le Bouscat	Aquitaine	France	30634
CM-12655	2181 Pelham Pkwy	San Francisco	California	United States	30636
JC-6105	165 Vaughan Ln	Shiraz	Fars	Iran	30638
GB-14530	3700 Hwy 280-431 N	Bokaro	Jharkhand	India	30640
JH-16180	1903 Cobbs Ford Rd	Fuji	Shizuoka	Japan	30642
MT-8070	4180 Us Hwy 431	Benidorm	Valenciana	Spain	30644
CV-2805	13675 Hwy 43	Kozhikode	Kerala	India	30646
NH-18610	1095 Industrial Pkwy	Adelaide	South Australia	Australia	30648
HJ-14875	24833 Johnt Reidprkw	Kuala Lumpur	Kuala Lumpur	Malaysia	30650
JL-15175	1501 Hwy 14 East	Astrakhan'	Astrakhan'	Russia	30652
MY-18295	7855 Moffett Rd	Columbus	Ohio	United States	30654
MW-18235	150 Springville Station Blvd	Xiangtan	Hunan	China	30656
KC-16540	690 Hwy 78	Shaoxing	Zhejiang	China	30658
HA-14920	41301 US Hwy 280	Jabalpur	Madhya Pradesh	India	30660
MT-17815	214 Haynes Street	Patna	Bihar	India	30662
FW-14395	1300 Gilmer Ave	Adelaide	South Australia	Australia	30664
BH-11710	34301 Hwy 43	Marikina	National Capital	Philippines	30666
DK-12895	1420 Us 231 South	Shenzhen	Guangdong	China	30668
SC-20845	1501 Skyland Blvd E	La Baule-Escoublac	Pays de la Loire	France	30670
CY-12745	3501 20th Av	Dijon	Burgundy	France	30672
HL-15040	1300 Montgomery Highway	Los Angeles	California	United States	30674
CT-11995	4538 Us Hwy 231	Philadelphia	Pennsylvania	United States	30676
GR-4560	2575 Us Hwy 43	Cape Town	Western Cape	South Africa	30678
TT-21070	4180 Us Hwy 431	Cairo	Al Qahirah	Egypt	30680
PO-19195	13675 Hwy 43	Medellín	Antioquia	Colombia	30682
ED-13885	1095 Industrial Pkwy	New York City	New York	United States	30684
TM-21490	24833 Johnt Reidprkw	West Bromwich	England	United Kingdom	30686
AW-10840	1501 Hwy 14 East	Detroit	Michigan	United States	30688
AT-10735	7855 Moffett Rd	Seattle	Washington	United States	30690
SG-10605	150 Springville Station Blvd	New York City	New York	United States	30692
BM-11785	690 Hwy 78	Baku	Baki	Azerbaijan	30694
DK-13375	41301 US Hwy 280	Jakarta	Jakarta	Indonesia	30696
PF-19225	214 Haynes Street	Burnley	England	United Kingdom	30698
TG-21310	1300 Gilmer Ave	Laval	Pays de la Loire	France	30700
SF-10200	34301 Hwy 43	Vilnius	Vilnius	Lithuania	30702
JW-5220	1420 Us 231 South	Brisbane	Queensland	Australia	30704
CC-12100	1501 Skyland Blvd E	Seattle	Washington	United States	30706
RD-19930	3501 20th Av	Buenos Aires	Buenos Aires	Argentina	30708
BP-1230	1300 Montgomery Highway	Girga	Suhaj	Egypt	30710
CS-12175	4538 Us Hwy 231	Kochi	Kerala	India	30712
JD-16060	2575 Us Hwy 43	Detroit	Michigan	United States	30714
GH-14665	301 Massachusetts Ave	Maseru	Maseru	Lesotho	30716
CM-11935	780 Lynnway	Wellington	Wellington	New Zealand	30718
RB-9465	70 Pleasant Valley Street	Luoyang	Henan	China	30720
RB-19795	830 Curran Memorial Hwy	Feira de Santana	Bahia	Brazil	30722
DL-13495	1470 S Washington St	Matagalpa	Matagalpa	Nicaragua	30724
TS-21205	506 State Road	Houston	Texas	United States	30726
MV-8190	742 Main Street	Seattle	Washington	United States	30728
BD-11560	72 Main St	Virginia Beach	Virginia	United States	30730
PS-18760	200 Otis Street	Managua	Managua	Nicaragua	30732
FM-14215	180 North King Street	Managua	Managua	Nicaragua	30734
CA-12775	555 East Main St	Wuhai	Inner Mongolia	China	30736
CD-12790	555 Hubbard Ave-Suite 12	Nantes	Pays de la Loire	France	30738
NL-18310	300 Colony Place	Strasbourg	Alsace	France	30740
TB-21055	301 Falls Blvd	Berlin	Berlin	Germany	30742
EH-4125	36 Paramount Drive	Surabaya	Jawa Timur	Indonesia	30744
KB-16600	450 Highland Ave	Tupã	São Paulo	Brazil	30746
KW-16435	1180 Fall River Avenue	Vienna	Vienna	Austria	30748
MG-17695	1105 Boston Road	Mexico City	Distrito Federal	Mexico	30750
HM-14860	100 Charlton Road	Hobart	Tasmania	Australia	30752
BP-11290	262 Swansea Mall Dr	Hirakata	Osaka	Japan	30754
HZ-4950	333 Main Street	Preston	England	United Kingdom	30756
TC-20980	550 Providence Hwy	Maseru	Maseru	Lesotho	30758
EM-13825	352 Palmer Road	Agra	Uttar Pradesh	India	30760
BS-11800	3005 Cranberry Hwy Rt 6 28	Granollers	Catalonia	Spain	30762
DV-13465	250 Rt 59	Ho Chi Minh City	Ho Chí Minh City	Vietnam	30764
MB-17305	141 Washington Ave Extension	Jakarta	Jakarta	Indonesia	30766
PC-19000	13858 Rt 31 W	Camagüey	Camagüey	Cuba	30768
CA-12310	2055 Niagara Falls Blvd	Amsterdam	North Holland	Netherlands	30770
KC-16255	101 Sanford Farm Shpg Center	Gold Coast	Queensland	Australia	30772
DB-3660	297 Grant Avenue	Morristown	New Jersey	United States	30774
SC-20260	4133 Veterans Memorial Drive	Piatra-Neamt	Neamt	Romania	30776
BD-11500	6265 Brockport Spencerport Rd	Milpa Alta	Distrito Federal	Mexico	30778
BM-11140	5399 W Genesse St	Mexico City	Distrito Federal	Mexico	30780
KB-16315	3191 County rd 10	León	Guanajuato	Mexico	30782
JM-15865	30 Catskill	Los Angeles	California	United States	30784
AF-10885	161 Centereach Mall	Los Angeles	California	United States	30786
SJ-20500	3018 East Ave	San Francisco	California	United States	30788
WB-21850	100 Thruway Plaza	Izmir	Izmir	Turkey	30790
CC-12610	8064 Brewerton Rd	Newark	Delaware	United States	30792
BE-11455	5033 Transit Road	Dakar	Dakar	Senegal	30794
TG-21640	3949 Route 31	Coyoacán	Distrito Federal	Mexico	30796
MS-17365	139 Merchant Place	Manukau City	Auckland	New Zealand	30798
NP-18685	85 Crooked Hill Road	Yaounde	Centre	Cameroon	30800
RM-19675	872 Route 13	Newcastle upon Tyne	England	United Kingdom	30802
SN-20560	279 Troy Road	Dehra Dun	Uttarakhand	India	30804
CD-12280	2465 Hempstead Turnpike	Bangkok	Bangkok	Thailand	30806
BG-11035	6438 Basile Rowe	Santander	Cantabria	Spain	30808
CC-12550	25737 US Rt 11	Cangzhou	Hebei	China	30810
SV-20785	901 Route 110	Shanghai	Shanghai	China	30812
HW-14935	2400 Route 9	León	León	Nicaragua	30814
AS-10285	10401 Bennett Road	Rybinsk	Yaroslavl'	Russia	30816
LD-16855	1818 State Route 3	Ibiúna	São Paulo	Brazil	30818
NS-18505	4300 Lakeville Road	Gold Coast	Queensland	Australia	30820
CM-12715	990 Route 5 20	Philadelphia	Pennsylvania	United States	30822
JD-6060	311 RT 9W	Canberra	Australian Capital Territory	Australia	30824
MG-17680	200 Dutch Meadows Ln	Tallahassee	Florida	United States	30826
DB-13210	100 Elm Ridge Center Dr	Port Elizabeth	Eastern Cape	South Africa	30828
CS-11860	1549 Rt 9	Newark	Ohio	United States	30830
GG-14650	5360 Southwestern Blvd	Cambridge	England	United Kingdom	30832
BN-11470	103 North Caroline St	Bandung	Jawa Barat	Indonesia	30834
BS-1665	1000 State Route 36	Mixco	Guatemala	Guatemala	30836
AC-10450	1400 County Rd 64	Kota	Chhattisgarh	India	30838
CK-12205	135 Fairgrounds Memorial Pkwy	Munster	Lower Saxony	Germany	30840
JD-16150	2 Gannett Dr	Christchurch	Canterbury	New Zealand	30842
CC-2550	233 5th Ave Ext	Vincennes	Ile-de-France	France	30844
MS-17830	601 Frank Stottile Blvd	Moers	North Rhine-Westphalia	Germany	30846
SM-20950	350 E Fairmount Ave	Chongqing	Chongqing	China	30848
CL-12700	4975 Transit Rd	Gyula	Bekes	Hungary	30850
CM-12160	579 Troy-Schenectady Road	Lucknow	Uttar Pradesh	India	30852
JC-15775	5783 So Transit Road	Managua	Managua	Nicaragua	30854
LH-16900	7155 State Rt 12 S	Florence	Kentucky	United States	30856
DV-13045	425 Route 31	Turin	Piedmont	Italy	30858
BT-11530	3222 State Rt 11	Manila	National Capital	Philippines	30860
BM-1650	200 Sunrise Mall	Medan	Sumatera Utara	Indonesia	30862
MG-18205	43 Stephenville St	Springfield	Missouri	United States	30864
RB-19705	750 Middle Country Road	Singapore	Singapore	Singapore	30866
FC-14245	470 Route 211 East	Benguela	Benguela	Angola	30868
TT-21220	3133 E Main St	Lafayette	Indiana	United States	30870
SJ-20215	288 Larkin	Himeji	Hyogo	Japan	30872
PB-18805	41 Anawana Lake Road	New York City	New York	United States	30874
RW-19690	4765 Commercial Drive	Kendari	Sulawesi Tenggara	Indonesia	30876
DB-3360	1201 Rt 300	Mejicanos	San Salvador	El Salvador	30878
DK-13150	255 W Main St	Sydney	New South Wales	Australia	30880
RW-9540	120 Commercial Parkway	Barcelona	Catalonia	Spain	30882
MP-17470	1400 Farmington Ave	Menton	Provence-Alpes-Côte d'Azur	France	30884
TB-21625	161 Berlin Road	Huntsville	Alabama	United States	30886
MO-17800	67 Newton Rd	Clermont-Ferrand	Auvergne	France	30888
MR-17545	656 New Haven Ave	Philadelphia	Pennsylvania	United States	30890
LC-17050	69 Prospect Hill Road	Buzau	Buzau	Romania	30892
RA-19885	150 Gold Star Hwy	San Francisco	California	United States	30894
MG-8145	900 Boston Post Road	Bayeux	Paraíba	Brazil	30896
JE-16165	2300 Dixwell Ave	Columbus	Georgia	United States	30898
JK-16090	495 Flatbush Ave	San Antonio	Texas	United States	30900
EM-13960	180 River Rd	Kuala Lumpur	Kuala Lumpur	Malaysia	30902
DJ-13420	420 Buckland Hills Dr	Perth	Western Australia	Australia	30904
BO-11425	1365 Boston Post Road	Darwin	Northern Territory	Australia	30906
LW-17215	1100 New Haven Road	Jamestown	New York	United States	30908
PJ-19015	315 Foxon Blvd	Bayeux	Lower Normandy	France	30910
KM-16720	164 Danbury Rd	Lens	Nord-Pas-de-Calais	France	30912
BG-11695	3164 Berlin Turnpike	Lannion	Brittany	France	30914
CS-12130	474 Boston Post Road	Los Angeles	California	United States	30916
MC-17425	650 Main Ave	Iserlohn	North Rhine-Westphalia	Germany	30918
BD-1635	680 Connecticut Avenue	Kalemie	Katanga	Democratic Republic of the Congo	30920
RF-19345	220 Salem Turnpike	Sydney	New South Wales	Australia	30922
MG-7680	655 Boston Post Rd	Ghent	East Flanders	Belgium	30924
KH-16690	625 School Street	Los Angeles	California	United States	30926
CC-12475	80 Town Line Rd	Indianapolis	Indiana	United States	30928
LT-16765	465 Bridgeport Avenue	Marseille	Provence-Alpes-Côte d'Azur	France	30930
BF-10975	235 Queen St	Los Angeles	California	United States	30932
CJ-12010	150 Barnum Avenue Cutoff	Soyapango	San Salvador	El Salvador	30934
SH-9975	970 Torringford Street	Lahore	Punjab	Pakistan	30936
SL-20155	844 No Colony Road	Sydney	New South Wales	Australia	30938
NC-8340	910 Wolcott St	Grenoble	Rhône-Alpes	France	30940
JB-5400	155 Waterford Parkway No	Espoo	Uusimaa	Finland	30942
TB-21250	515 Sawmill Road	Whyalla	South Australia	Australia	30944
PS-18970	2473 Hackworth Road	Adelaide	South Australia	Australia	30946
BB-11545	630 Coonial Promenade Pkwy	Medan	Sumatera Utara	Indonesia	30948
SG-10470	2643 Hwy 280 West	Ivry-sur-Seine	Ile-de-France	France	30950
SP-20920	540 West Bypass	Kanpur	Uttar Pradesh	India	30952
Dp-13240	5560 Mcclellan Blvd	Saint-Laurent-du-Var	Provence-Alpes-Côte d'Azur	France	30954
GZ-14470	1450 No Brindlee Mtn Pkwy	Cartagena	Bolívar	Colombia	30956
AH-10075	1011 US Hwy 72 East	Cancún	Quintana Roo	Mexico	30958
CB-2025	973 Gilbert Ferry Road Se	Harbin	Heilongjiang	China	30960
SC-20050	1717 South College Street	Kumasi	Ashanti	Ghana	30962
SC-10230	701 Mcmeans Ave	Ho Chi Minh City	Ho Chí Minh City	Vietnam	30964
JS-15595	750 Academy Drive	Delhi	Delhi	India	30966
BS-11380	312 Palisades Blvd	London	England	United Kingdom	30968
JL-5130	1600 Montclair Rd	Vienna	Vienna	Austria	22347
AS-10090	5919 Trussville Crossings Pkwy	Salem	Tamil Nadu	India	22350
EL-13735	9248 Parkway East	Angers	Pays de la Loire	France	22353
FH-14275	1972 Hwy 431	Bangkok	Bangkok	Thailand	22356
OT-18730	10675 Hwy 5	Bremen	Bremen	Germany	22359
SM-10320	2041 Douglas Avenue	Khorramabad	Lorestan	Iran	22362
PM-19135	5100 Hwy 31	Chennai	Tamil Nadu	India	22365
TS-11430	1916 Center Point Rd	Barletta	Apulia	Italy	22368
LS-17245	1950 W Main St	Tamworth	England	United Kingdom	22371
